pdes,dv,H,a,e,i
2008 AS28,9.327,1.554,1.480,19.6,2.424
2010 XY82,9.328,1.555,1.481,19.2,2.188
2005 XJ8,9.329,1.555,1.481,17.0,1.930
2012 TA219,9.330,1.555,1.481,18.1,2.641
2012 LJ11,9.332,1.555,1.481,22.7,2.564
2010 VX139,9.332,1.555,1.481,20.5,0.965
2010 LQ33,9.334,1.556,1.482,19.4,2.270
2002 FA5,9.335,1.556,1.482,17.3,1.834
2009 UF,9.335,1.556,1.482,22.6,1.765
2005 YU3,9.335,1.556,1.482,19.7,2.554
2003 RW11,9.337,1.556,1.482,18.8,2.637
2007 PF28,9.337,1.556,1.482,19.3,2.145
2004 XH29,9.338,1.556,1.482,18.7,1.381
2010 DE,9.338,1.556,1.482,17.3,2.113
2011 PW6,9.342,1.557,1.483,18.6,1.671
2004 FG1,9.343,1.557,1.483,19.3,1.751
2004 AF,9.345,1.558,1.483,16.0,1.971
2011 YW10,9.346,1.558,1.483,24.0,0.865
2006 SJ134,9.346,1.558,1.483,17.9,2.204
2010 AO2,9.346,1.558,1.483,22.6,1.012
2006 TB,9.346,1.558,1.483,20.1,1.562
2011 UD,9.346,1.558,1.484,20.7,2.035
2004 GD28,9.346,1.558,1.484,17.2,2.664
2012 AC11,9.347,1.558,1.484,22.2,1.324
1983 LB,9.349,1.558,1.484,17.1,2.286
2003 ME1,9.350,1.558,1.484,23.6,1.041
2005 UJ6,9.352,1.559,1.484,21.5,1.069
2002 XK4,9.354,1.559,1.485,16.0,1.850
2006 KT38,9.358,1.560,1.485,19.4,2.686
2005 SH26,9.359,1.560,1.485,20.6,1.097
2013 DF,9.359,1.560,1.486,24.6,0.864
2008 VT4,9.362,1.560,1.486,22.4,1.424
2010 TZ53,9.363,1.560,1.486,23.0,1.027
2004 XL35,9.364,1.561,1.486,19.5,1.355
2009 WS52,9.366,1.561,1.487,23.5,1.772
2001 XX4,9.367,1.561,1.487,22.1,1.007
2006 JV26,9.369,1.561,1.487,25.2,2.015
2004 YU5,9.369,1.562,1.487,18.9,2.308
2010 RB,9.372,1.562,1.488,20.2,2.561
1998 RN1,9.377,1.563,1.488,18.9,2.610
2004 FD,9.378,1.563,1.489,22.9,1.302
2004 FW1,9.379,1.563,1.489,21.1,1.603
2012 HO15,9.380,1.563,1.489,19.3,2.439
2008 CQ116,9.381,1.563,1.489,23.9,1.005
2012 QR50,9.384,1.564,1.490,19.4,1.526
2006 XF2,9.385,1.564,1.490,19.9,2.189
2011 JD1,9.385,1.564,1.490,21.7,1.112
2007 DL8,9.386,1.564,1.490,17.3,2.663
1994 RB,9.389,1.565,1.490,23.4,2.470
1999 LE6,9.389,1.565,1.490,20.6,1.643
2012 XC112,9.390,1.565,1.490,19.3,2.434
2000 SV20,9.390,1.565,1.490,19.0,1.683
2010 EH20,9.390,1.565,1.490,18.0,2.620
2010 TK7,9.392,1.565,1.491,20.8,1.000
2007 VH8,9.394,1.566,1.491,21.8,2.710
2008 VL14,9.394,1.566,1.491,21.1,2.211
2007 EG,9.395,1.566,1.491,24.6,0.755
2005 AD13,9.397,1.566,1.492,17.9,1.949
2004 KE17,9.397,1.566,1.492,21.5,2.769
2006 TL,9.399,1.566,1.492,24.0,0.940
2008 CC119,9.400,1.567,1.492,18.6,2.586
2011 TC4,9.402,1.567,1.492,20.2,1.492
2004 TB10,9.403,1.567,1.493,21.3,1.104
2003 HN16,9.404,1.567,1.493,22.3,1.288
2009 OY7,9.405,1.568,1.493,24.8,1.374
2003 WX25,9.408,1.568,1.493,18.6,2.906
2006 DZ,9.410,1.568,1.494,21.0,2.300
1998 KD3,9.410,1.568,1.494,20.6,2.044
1993 UB,9.412,1.569,1.494,16.6,2.277
2011 CV46,9.413,1.569,1.494,24.9,1.345
2007 TS19,9.414,1.569,1.494,20.6,1.084
2012 SC22,9.414,1.569,1.494,20.0,1.319
2008 TF4,9.415,1.569,1.494,19.2,1.894
2003 TR9,9.415,1.569,1.494,21.2,1.642
2006 EA,9.415,1.569,1.495,19.2,3.141
2006 VY2,9.424,1.571,1.496,22.7,0.892
1999 HW1,9.424,1.571,1.496,19.8,2.380
2012 AB11,9.428,1.571,1.496,22.1,1.589
2000 SR43,9.429,1.571,1.497,19.4,2.544
2008 JO14,9.430,1.572,1.497,21.1,2.005
2003 CG11,9.432,1.572,1.497,20.5,2.589
1998 XZ4,9.432,1.572,1.497,16.2,1.937
2002 VC92,9.434,1.572,1.497,18.9,1.461
2011 SF173,9.434,1.572,1.498,22.0,3.058
2013 ES9,9.435,1.573,1.498,21.9,1.561
2001 XR1,9.435,1.573,1.498,17.4,1.246
2011 JN5,9.437,1.573,1.498,25.2,1.011
2009 CQ5,9.437,1.573,1.498,17.6,0.933
2010 XQ69,9.437,1.573,1.498,22.9,0.876
1991 TB2,9.438,1.573,1.498,17.1,2.046
2002 AC29,9.440,1.573,1.498,17.7,1.642
2008 CA5,9.442,1.574,1.499,19.8,1.867
2008 ON13,9.442,1.574,1.499,19.9,2.212
1998 YM4,9.443,1.574,1.499,19.7,1.477
2002 RN129,9.444,1.574,1.499,18.9,1.162
2011 WV2,9.446,1.574,1.499,20.5,1.529
2005 RC,9.447,1.574,1.500,17.2,2.153
2012 CR36,9.447,1.575,1.500,23.1,1.367
2009 BM2,9.447,1.575,1.500,19.9,2.732
2010 LU134,9.448,1.575,1.500,19.5,1.897
2005 MC,9.449,1.575,1.500,16.5,2.616
2007 TC14,9.452,1.575,1.500,22.1,2.090
2007 VD12,9.454,1.576,1.501,20.0,1.146
2011 WS46,9.457,1.576,1.501,23.9,1.222
2008 KD6,9.457,1.576,1.501,19.7,1.310
2005 VE,9.458,1.576,1.501,20.7,1.064
2004 JP12,9.458,1.576,1.501,23.4,1.849
1998 WC2,9.461,1.577,1.502,18.4,2.553
2011 AF3,9.462,1.577,1.502,25.1,6.998
2010 SR16,9.463,1.577,1.502,24.3,1.351
2001 MZ7,9.464,1.577,1.502,14.8,1.776
1998 DG16,9.465,1.577,1.502,19.8,0.897
2005 JQ81,9.466,1.578,1.503,19.9,2.617
2012 XR134,9.466,1.578,1.503,18.4,2.016
2004 TR12,9.468,1.578,1.503,18.2,0.895
2008 CX21,9.469,1.578,1.503,24.6,1.928
2005 QK76,9.469,1.578,1.503,25.1,1.399
2001 BM61,9.471,1.578,1.503,21.0,1.375
1998 FL3,9.471,1.579,1.503,22.0,1.260
2010 BH2,9.472,1.579,1.504,19.5,2.350
2012 WS10,9.476,1.579,1.504,24.9,1.068
2008 SV150,9.476,1.579,1.504,26.3,1.154
2010 FB6,9.480,1.580,1.505,22.0,1.296
2006 DA1,9.481,1.580,1.505,24.8,1.569
2012 NQ,9.483,1.580,1.505,20.2,1.877
2004 LJ,9.483,1.581,1.505,20.2,1.087
2002 KG4,9.485,1.581,1.506,20.9,2.938
2007 WB5,9.486,1.581,1.506,19.0,1.769
1985 TB,9.488,1.581,1.506,15.5,2.581
2012 EP5,9.488,1.581,1.506,21.6,1.414
2003 FU3,9.489,1.581,1.506,20.9,0.858
2007 WB,9.489,1.581,1.506,18.8,1.669
2009 CF,9.491,1.582,1.507,23.6,2.045
2010 PJ,9.491,1.582,1.507,21.8,1.687
2010 JL1,9.492,1.582,1.507,25.5,0.928
2008 WY32,9.492,1.582,1.507,22.3,1.173
2005 FV2,9.494,1.582,1.507,18.7,2.168
2011 US63,9.494,1.582,1.507,18.0,3.033
2001 TB2,9.495,1.582,1.507,21.5,1.461
2000 ES70,9.495,1.583,1.507,17.2,1.809
2006 BB27,9.496,1.583,1.507,19.6,1.362
2003 XE11,9.496,1.583,1.507,17.6,1.845
2001 SG276,9.497,1.583,1.508,17.7,1.433
2006 OZ4,9.500,1.583,1.508,21.7,1.023
2007 AC12,9.500,1.583,1.508,17.8,2.778
2009 XV1,9.503,1.584,1.508,22.9,1.712
2010 GK65,9.505,1.584,1.509,24.5,0.923
2004 DG2,9.505,1.584,1.509,18.4,1.248
2007 SV1,9.508,1.585,1.509,24.7,0.756
2004 YR,9.508,1.585,1.509,20.3,1.724
2012 KM45,9.509,1.585,1.509,18.8,2.267
2010 VN98,9.516,1.586,1.510,22.3,1.551
1998 EP8,9.521,1.587,1.511,18.0,1.751
2005 EU95,9.521,1.587,1.511,20.8,1.166
2003 QN47,9.525,1.587,1.512,18.1,1.736
2003 XV10,9.526,1.588,1.512,19.4,1.435
2005 UF3,9.528,1.588,1.512,21.8,1.859
1999 OP3,9.528,1.588,1.512,15.1,2.712
2012 FN52,9.529,1.588,1.512,18.0,1.980
1997 VM4,9.529,1.588,1.513,18.0,2.620
2001 UX4,9.533,1.589,1.513,19.1,1.721
2005 GB120,9.534,1.589,1.513,20.4,0.791
2011 SJ16,9.534,1.589,1.513,19.1,2.803
1982 RB,9.535,1.589,1.513,16.5,2.102
2009 WE,9.537,1.590,1.514,22.3,1.551
2007 VC138,9.538,1.590,1.514,19.4,2.117
2010 HD33,9.540,1.590,1.514,18.3,2.619
2006 MA,9.541,1.590,1.514,18.8,2.645
1998 WQ5,9.541,1.590,1.514,15.3,1.721
1998 HK3,9.541,1.590,1.514,17.9,1.828
2010 DB34,9.545,1.591,1.515,19.5,1.698
2012 BK86,9.548,1.591,1.516,21.9,1.799
2010 JG80,9.548,1.591,1.516,24.0,1.362
2000 GJ147,9.553,1.592,1.516,19.4,1.162
2001 SQ3,9.553,1.592,1.516,21.6,1.110
2010 TU149,9.555,1.592,1.517,20.7,2.201
2008 OS9,9.556,1.593,1.517,19.4,1.601
2012 KY3,9.557,1.593,1.517,18.6,1.232
2004 BE85,9.558,1.593,1.517,17.9,2.688
2010 DF,9.558,1.593,1.517,24.5,1.167
2004 TR13,9.558,1.593,1.517,18.5,2.017
2002 AB2,9.559,1.593,1.517,23.3,0.841
2011 BF59,9.559,1.593,1.517,19.5,1.401
2001 HA4,9.560,1.593,1.517,17.7,2.682
2005 XK8,9.562,1.594,1.518,19.8,1.611
2008 SD,9.564,1.594,1.518,19.4,2.039
2010 UJ7,9.565,1.594,1.518,25.4,0.796
2004 FA18,9.565,1.594,1.518,19.3,1.097
2005 WJ56,9.567,1.594,1.519,18.1,0.959
2002 XM35,9.570,1.595,1.519,23.0,2.349
2006 EX,9.571,1.595,1.519,25.0,1.111
2003 UE,9.572,1.595,1.519,20.2,2.346
2013 AP60,9.575,1.596,1.520,16.8,2.837
2009 HF88,9.576,1.596,1.520,19.5,2.577
2011 SK189,9.577,1.596,1.520,23.8,1.752
2010 JK41,9.577,1.596,1.520,20.1,2.751
2008 JZ30,9.577,1.596,1.520,18.4,2.584
2008 NS1,9.578,1.596,1.520,17.4,2.423
2009 WZ7,9.579,1.597,1.521,19.8,1.937
2006 FK9,9.582,1.597,1.521,20.9,1.613
1993 UC,9.584,1.597,1.521,15.2,2.436
2011 LB19,9.586,1.598,1.522,24.1,1.247
2005 YO128,9.587,1.598,1.522,24.6,0.821
2013 EA34,9.587,1.598,1.522,24.3,1.676
2010 QD2,9.590,1.598,1.522,17.4,2.010
2010 NB,9.590,1.598,1.522,23.0,1.032
2002 XU66,9.591,1.599,1.522,18.4,2.748
2011 UX255,9.592,1.599,1.523,27.4,1.928
2010 NG3,9.593,1.599,1.523,17.2,2.606
2001 YB1,9.593,1.599,1.523,22.0,1.664
2004 XO14,9.593,1.599,1.523,16.1,2.669
1991 VL,9.594,1.599,1.523,13.8,1.833
2011 SZ120,9.594,1.599,1.523,22.3,2.258
2013 BT45,9.594,1.599,1.523,23.1,1.119
2013 AH11,9.595,1.599,1.523,19.3,2.274
2008 QY,9.597,1.600,1.523,18.6,1.167
2008 CM116,9.599,1.600,1.524,17.6,1.631
2003 DF6,9.599,1.600,1.524,21.2,1.221
2011 WJ15,9.601,1.600,1.524,25.2,2.292
2005 XY4,9.601,1.600,1.524,23.5,1.056
2011 UR91,9.601,1.600,1.524,24.4,1.725
2002 XN40,9.604,1.601,1.524,18.1,2.171
1976 UA,9.605,1.601,1.525,20.0,0.844
2006 HY57,9.605,1.601,1.525,20.8,2.686
2009 WD106,9.606,1.601,1.525,18.6,1.934
2010 CH18,9.606,1.601,1.525,19.0,2.606
2005 XT77,9.607,1.601,1.525,20.9,0.841
2002 QE15,9.607,1.601,1.525,16.2,1.667
2008 CT1,9.607,1.601,1.525,27.7,0.912
2008 JP,9.609,1.602,1.525,20.8,1.547
2010 MW1,9.609,1.602,1.525,19.8,2.559
2007 DA,9.610,1.602,1.525,22.4,1.010
2007 WM3,9.610,1.602,1.525,23.1,0.794
2001 WH1,9.610,1.602,1.525,20.4,2.470
2008 DL5,9.612,1.602,1.526,21.9,1.095
2002 VX99,9.613,1.602,1.526,18.4,2.633
2006 QS23,9.614,1.602,1.526,20.3,1.193
2005 YT128,9.616,1.603,1.526,20.8,2.616
2001 TO103,9.616,1.603,1.526,17.0,2.212
2011 BJ10,9.618,1.603,1.527,24.2,1.358
2003 UX34,9.620,1.603,1.527,20.0,1.095
2001 UZ4,9.622,1.604,1.527,20.6,2.885
2008 TF2,9.623,1.604,1.527,25.1,0.990
2007 UL12,9.623,1.604,1.527,20.9,1.970
2003 MT,9.626,1.604,1.528,19.1,2.782
2004 QU24,9.627,1.605,1.528,16.1,3.324
2009 CZ,9.628,1.605,1.528,17.9,2.277
2007 XF25,9.628,1.605,1.528,21.4,1.183
2010 UG7,9.632,1.605,1.529,21.4,2.302
2012 AN10,9.633,1.606,1.529,22.5,0.909
2004 SB56,9.634,1.606,1.529,19.2,0.866
2004 RH340,9.636,1.606,1.530,19.4,1.295
2005 VZ3,9.636,1.606,1.530,20.7,2.161
1981 VA,9.637,1.606,1.530,15.9,2.470
1999 TC5,9.641,1.607,1.530,18.5,2.016
2009 FY4,9.642,1.607,1.530,21.0,1.012
2011 BA19,9.643,1.607,1.531,25.8,1.023
1992 DU,9.644,1.607,1.531,25.3,1.159
2004 VA1,9.645,1.607,1.531,20.5,1.051
1998 FJ74,9.646,1.608,1.531,18.8,2.389
2010 LU108,9.648,1.608,1.531,20.0,2.240
2011 GP44,9.651,1.609,1.532,24.4,0.790
2002 RT25,9.651,1.609,1.532,18.8,1.933
2001 WK15,9.656,1.609,1.533,21.1,1.141
2010 BK2,9.656,1.609,1.533,22.0,0.903
2010 JA35,9.659,1.610,1.533,20.6,2.159
2003 BM47,9.660,1.610,1.533,20.0,1.160
2005 VQ,9.667,1.611,1.534,19.0,1.126
2003 YL,9.668,1.611,1.535,19.9,1.146
2013 ER89,9.669,1.611,1.535,20.2,1.695
2004 ST2,9.669,1.612,1.535,24.2,0.955
2012 BM11,9.670,1.612,1.535,23.1,1.806
2002 CQ11,9.672,1.612,1.535,20.0,0.979
2012 RO1,9.675,1.613,1.536,19.5,2.529
2000 EL26,9.676,1.613,1.536,18.6,1.690
2005 JS1,9.676,1.613,1.536,19.6,2.213
3239 T-2,9.677,1.613,1.536,15.3,2.655
2005 JD46,9.680,1.613,1.537,18.0,2.645
2002 AT5,9.681,1.613,1.537,17.8,2.670
2005 YC,9.681,1.614,1.537,18.5,3.238
2002 JD109,9.683,1.614,1.537,18.3,2.020
2011 FY2,9.683,1.614,1.537,18.1,2.690
2007 PF6,9.686,1.614,1.537,20.6,1.299
1993 BD2,9.686,1.614,1.537,19.0,2.122
2001 YA1,9.689,1.615,1.538,20.8,2.162
2007 BG,9.689,1.615,1.538,19.5,0.787
2012 XA133,9.691,1.615,1.538,20.9,1.328
1997 WS22,9.704,1.617,1.540,17.3,1.270
2013 AW52,9.707,1.618,1.541,19.9,1.114
2012 HP13,9.710,1.618,1.541,24.2,0.987
2000 KN44,9.710,1.618,1.541,18.5,2.723
2013 FM9,9.710,1.618,1.541,23.8,0.807
2002 UN,9.712,1.619,1.542,17.2,3.001
2012 UB69,9.715,1.619,1.542,22.0,2.119
2013 FW13,9.717,1.620,1.542,21.8,1.120
2008 PJ3,9.719,1.620,1.543,20.4,1.776
2011 BM45,9.723,1.620,1.543,21.4,1.920
2006 OS5,9.723,1.620,1.543,18.4,2.861
2009 QB36,9.725,1.621,1.544,17.6,2.242
2012 BE14,9.727,1.621,1.544,22.7,1.394
2010 GC6,9.729,1.622,1.544,21.4,1.734
2011 SG5,9.730,1.622,1.544,18.5,1.310
2008 KB12,9.730,1.622,1.544,21.5,2.783
1998 XM2,9.730,1.622,1.544,17.1,1.805
2011 KF36,9.733,1.622,1.545,20.5,2.121
2012 MC7,9.733,1.622,1.545,20.2,2.428
2010 LZ63,9.736,1.623,1.545,20.1,1.912
2005 EA,9.739,1.623,1.546,21.0,1.301
2005 CW25,9.741,1.623,1.546,18.8,1.626
2000 WN10,9.742,1.624,1.546,20.2,1.001
2002 RD27,9.742,1.624,1.546,18.1,2.686
2002 KK3,9.742,1.624,1.546,18.8,2.448
2007 VF8,9.743,1.624,1.546,22.5,1.780
2001 ME1,9.743,1.624,1.547,16.7,2.652
2002 VV17,9.744,1.624,1.547,20.0,0.837
2009 YP,9.745,1.624,1.547,24.0,0.817
2001 WJ2,9.746,1.624,1.547,19.8,1.446
2001 VH5,9.749,1.625,1.547,21.0,1.274
2013 GL8,9.749,1.625,1.548,18.6,2.413
2000 KO44,9.753,1.626,1.548,17.5,1.830
2007 WE,9.754,1.626,1.548,19.6,4.044
2009 WM1,9.755,1.626,1.548,20.4,1.181
2001 MG1,9.757,1.626,1.549,17.1,2.506
2010 DN,9.758,1.626,1.549,20.9,2.567
1999 FB,9.758,1.626,1.549,17.9,1.180
2009 WR6,9.759,1.627,1.549,18.3,1.664
2002 CN15,9.760,1.627,1.549,20.8,1.325
1994 NE,9.760,1.627,1.549,19.8,2.036
2000 RV37,9.764,1.627,1.550,19.4,1.041
2009 HA21,9.765,1.628,1.550,20.4,1.461
2001 XD,9.766,1.628,1.550,18.3,2.042
2004 XN50,9.766,1.628,1.550,18.7,1.682
2013 GG,9.767,1.628,1.550,22.3,2.330
2001 BD16,9.769,1.628,1.551,19.6,1.618
2010 GD6,9.771,1.628,1.551,23.8,1.036
2012 LH11,9.772,1.629,1.551,22.2,1.395
2013 EW108,9.772,1.629,1.551,19.9,2.273
2005 ET70,9.778,1.630,1.552,20.7,2.129
2002 CC14,9.781,1.630,1.552,24.8,0.820
2007 DJ8,9.786,1.631,1.553,24.3,1.628
2003 UL3,9.787,1.631,1.554,18.0,2.242
1999 TM12,9.788,1.631,1.554,21.6,1.598
2013 CL89,9.788,1.631,1.554,19.5,1.253
2002 XX4,9.788,1.631,1.554,19.8,1.789
2012 VE46,9.789,1.632,1.554,20.3,0.713
2006 WR127,9.790,1.632,1.554,20.3,0.907
2001 CA21,9.792,1.632,1.554,18.6,2.113
2011 VU5,9.792,1.632,1.554,20.3,2.198
2013 BQ15,9.792,1.632,1.554,24.1,1.512
2010 XC11,9.793,1.632,1.554,18.7,2.514
2002 BP26,9.793,1.632,1.555,19.2,1.697
2001 TB45,9.794,1.632,1.555,19.0,2.996
2004 SZ19,9.796,1.633,1.555,18.7,1.796
2007 LE,9.797,1.633,1.555,19.7,1.839
2002 GO5,9.798,1.633,1.555,17.9,1.897
2003 GB34,9.799,1.633,1.555,18.8,2.575
2004 FX31,9.801,1.634,1.556,17.5,1.261
2002 XE84,9.804,1.634,1.556,20.7,2.815
2009 EG3,9.804,1.634,1.556,21.3,1.354
2002 VT94,9.806,1.634,1.557,19.7,3.078
2011 UG256,9.808,1.635,1.557,20.4,1.960
2008 EN6,9.809,1.635,1.557,19.2,1.483
2000 EB107,9.811,1.635,1.557,17.2,3.035
2004 TE8,9.811,1.635,1.557,18.9,1.753
2007 FL18,9.813,1.635,1.558,19.7,3.087
2007 EE126,9.814,1.636,1.558,25.6,3.448
2008 XV2,9.815,1.636,1.558,20.5,2.172
2009 OB3,9.815,1.636,1.558,18.9,2.248
2012 QF49,9.816,1.636,1.558,17.4,2.260
2006 TU7,9.818,1.636,1.558,21.9,0.851
2002 LV,9.819,1.637,1.559,16.6,2.316
2010 HQ80,9.824,1.637,1.559,19.7,1.568
2002 HE8,9.830,1.638,1.560,20.3,1.292
2008 VK,9.831,1.639,1.560,23.4,1.579
2004 SC56,9.833,1.639,1.561,22.7,0.767
2012 CK2,9.836,1.639,1.561,18.9,2.581
2002 RU25,9.837,1.639,1.561,17.4,2.177
2011 SL173,9.837,1.640,1.561,25.5,1.162
2011 GD3,9.838,1.640,1.562,19.2,1.336
2001 PU9,9.839,1.640,1.562,19.3,2.244
2002 DB4,9.841,1.640,1.562,16.5,0.858
1994 WR12,9.843,1.641,1.562,22.0,0.757
2012 HO8,9.845,1.641,1.563,24.2,1.151
2013 CN128,9.847,1.641,1.563,19.9,1.744
2010 LK68,9.847,1.641,1.563,22.5,1.163
2000 UT16,9.848,1.641,1.563,16.5,2.573
2008 UZ94,9.850,1.642,1.563,17.5,2.190
2011 SJ68,9.851,1.642,1.564,19.2,2.264
2007 VB138,9.853,1.642,1.564,26.1,0.773
2009 CR2,9.856,1.643,1.564,16.7,2.968
2002 PQ142,9.856,1.643,1.565,17.7,1.696
2001 JL1,9.857,1.643,1.565,16.6,2.553
2009 HE21,9.857,1.643,1.565,24.5,2.397
2007 JF22,9.859,1.643,1.565,16.1,3.075
2012 BZ34,9.861,1.643,1.565,22.4,1.709
2010 GO67,9.863,1.644,1.566,25.0,1.470
2008 EH85,9.863,1.644,1.566,23.8,1.126
2007 EM26,9.867,1.644,1.566,22.7,1.466
2001 GQ2,9.868,1.645,1.566,20.1,1.214
1998 KF3,9.868,1.645,1.566,18.9,2.130
2011 XC2,9.869,1.645,1.567,23.1,2.003
2005 UG1,9.871,1.645,1.567,22.5,1.941
2008 QV11,9.879,1.646,1.568,21.2,0.908
2006 GY2,9.879,1.647,1.568,18.8,1.858
2012 CA21,9.880,1.647,1.568,19.1,2.654
1996 XW1,9.881,1.647,1.568,19.1,1.726
2008 OC6,9.884,1.647,1.569,18.4,0.923
2000 QY69,9.887,1.648,1.569,19.7,1.426
2010 TX168,9.897,1.649,1.571,20.0,1.483
2008 YQ2,9.899,1.650,1.571,24.8,1.034
1924 TD,9.900,1.650,1.572,9.4,2.662
2008 OX2,9.901,1.650,1.572,20.1,1.048
2006 VC2,9.903,1.650,1.572,21.1,2.104
2000 GG147,9.905,1.651,1.572,18.9,1.790
2002 OY21,9.908,1.651,1.573,20.7,1.355
2006 QA58,9.909,1.651,1.573,20.4,1.250
2000 EM26,9.909,1.652,1.573,22.4,0.816
2003 AD1,9.910,1.652,1.573,18.2,1.820
1997 PN,9.911,1.652,1.573,19.7,2.224
2007 VY137,9.911,1.652,1.573,24.2,0.899
2008 UX91,9.912,1.652,1.573,24.0,1.428
2011 KJ20,9.918,1.653,1.574,18.4,2.430
2007 VL184,9.920,1.653,1.575,24.1,1.293
2011 WH15,9.922,1.654,1.575,20.2,2.111
2009 SL2,9.924,1.654,1.575,22.1,1.046
2012 BX34,9.927,1.655,1.576,27.6,0.762
2009 DK46,9.928,1.655,1.576,18.2,2.626
2010 LK34,9.933,1.655,1.577,21.9,1.781
2002 AL14,9.935,1.656,1.577,17.8,1.038
2008 SG148,9.938,1.656,1.577,22.6,1.346
2002 BJ2,9.938,1.656,1.577,17.2,2.049
2000 BM19,9.942,1.657,1.578,18.2,0.741
2010 SS3,9.943,1.657,1.578,21.0,1.613
2007 BD,9.944,1.657,1.578,25.4,0.734
2010 XK,9.944,1.657,1.578,22.8,1.078
2012 UJ,9.945,1.657,1.579,25.3,1.318
2013 BK18,9.947,1.658,1.579,19.6,1.626
2010 DO,9.953,1.659,1.580,21.7,1.614
2009 MW,9.953,1.659,1.580,20.7,0.913
2010 TK54,9.954,1.659,1.580,19.3,1.840
2007 BJ29,9.957,1.660,1.581,18.9,2.182
2013 HV14,9.958,1.660,1.581,21.1,2.209
2013 DT,9.958,1.660,1.581,23.6,1.286
2006 AM8,9.959,1.660,1.581,19.6,1.869
2002 GQ,9.965,1.661,1.582,26.3,0.768
2001 RC12,9.966,1.661,1.582,15.7,3.223
2012 EA12,9.968,1.661,1.582,24.9,1.568
1999 TF5,9.970,1.662,1.582,18.9,2.023
2005 CP38,9.971,1.662,1.583,23.7,1.019
2005 GO22,9.972,1.662,1.583,18.6,1.914
2012 UR158,9.973,1.662,1.583,20.8,2.242
2011 FR21,9.974,1.662,1.583,21.0,1.618
2007 MG,9.975,1.662,1.583,20.9,1.275
2008 WT62,9.975,1.662,1.583,22.8,0.884
2005 JO3,9.977,1.663,1.584,19.9,1.367
2009 BQ5,9.979,1.663,1.584,23.2,1.244
2004 PS92,9.980,1.663,1.584,18.9,2.586
2005 HM3,9.981,1.663,1.584,19.8,1.679
2001 HB,9.982,1.664,1.584,20.4,1.314
2006 CX10,9.983,1.664,1.585,17.7,2.568
2006 JE,9.985,1.664,1.585,23.9,1.765
2011 SR12,9.985,1.664,1.585,19.5,2.020
2007 VQ4,9.989,1.665,1.586,16.2,2.637
2011 TK5,9.990,1.665,1.586,22.8,0.854
1999 RC32,9.990,1.665,1.586,18.4,1.839
2001 UC5,9.993,1.665,1.586,21.3,2.748
1998 XX2,9.993,1.666,1.586,19.9,0.741
2003 WO151,9.996,1.666,1.587,20.4,1.545
2008 HF2,9.997,1.666,1.587,19.6,1.698
2004 CK39,9.997,1.666,1.587,19.2,2.296
2007 FL1,10.000,1.667,1.587,18.5,2.357
2000 AZ93,10.003,1.667,1.588,21.0,0.747
1999 RK45,10.004,1.667,1.588,19.5,1.598
1979 XB,10.004,1.667,1.588,18.6,2.220
2008 GV,10.007,1.668,1.588,23.2,2.715
1999 JB,10.008,1.668,1.589,17.4,1.420
2012 BP1,10.009,1.668,1.589,24.2,1.403
2000 FL10,10.015,1.669,1.590,16.8,1.463
2000 WK10,10.016,1.669,1.590,18.4,1.478
2000 UR16,10.017,1.670,1.590,23.9,0.904
2005 CZ6,10.023,1.671,1.591,19.1,2.553
2006 SF7,10.024,1.671,1.591,22.3,1.040
2009 SS103,10.025,1.671,1.591,22.4,1.042
2002 AU4,10.025,1.671,1.591,19.3,0.856
1999 XS35,10.025,1.671,1.591,17.2,17.846
2009 FT,10.026,1.671,1.591,18.9,1.572
2001 KB67,10.026,1.671,1.592,19.9,0.963
2008 JO24,10.029,1.671,1.592,18.9,1.800
2008 DV,10.034,1.672,1.593,18.3,1.731
2012 KL11,10.034,1.672,1.593,21.0,2.134
2012 KE25,10.034,1.672,1.593,18.7,1.657
2012 HO2,10.039,1.673,1.594,20.4,1.234
2007 KO4,10.043,1.674,1.594,23.2,1.103
2003 QC10,10.049,1.675,1.595,17.9,1.373
2007 VK3,10.051,1.675,1.595,21.9,1.125
2003 TL4,10.051,1.675,1.595,19.4,0.777
2010 GM65,10.053,1.675,1.596,22.4,1.494
2003 WL25,10.057,1.676,1.596,16.6,2.396
2003 YJ136,10.058,1.676,1.596,20.4,2.140
2008 UU1,10.062,1.677,1.597,19.9,1.608
2010 DM,10.064,1.677,1.597,19.1,2.077
2012 GS5,10.065,1.677,1.598,18.7,3.408
1997 VG,10.065,1.678,1.598,22.2,1.767
2011 KG20,10.066,1.678,1.598,24.2,2.247
2012 UW27,10.067,1.678,1.598,21.1,2.822
2009 ES,10.074,1.679,1.599,20.2,1.435
1995 FJ,10.075,1.679,1.599,20.3,1.085
2001 YB5,10.075,1.679,1.599,20.9,2.347
2002 LK,10.076,1.679,1.599,24.2,1.104
2011 FF41,10.079,1.680,1.600,23.6,1.233
2005 QC,10.080,1.680,1.600,18.9,1.802
2009 HS2,10.082,1.680,1.600,21.8,2.891
1998 SR49,10.082,1.680,1.600,17.4,2.480
2004 XK14,10.084,1.681,1.601,22.3,0.749
1971 FA,10.086,1.681,1.601,14.8,1.461
2001 XQ,10.087,1.681,1.601,19.2,3.640
2002 JQ9,10.093,1.682,1.602,19.2,1.157
2007 RU17,10.093,1.682,1.602,18.2,2.040
